tax_year,filer_ein,filer_name,recipient_name,recipient_ein,recipient_address1,recipient_address2,recipient_city,recipient_state,recipient_country,recipient_postal,amount,purpose
2023,137029285,OPEN SOCIETY INSTITUTE,NADIA MARZOUKI,,15 RUE ROBERT FLEURY,,PARIS,,FR,75015,8000,"TO WRITE A BOOK THAT INVESTIGATES THE EMERGENCE OF A STRUGGLE BETWEEN ""RELIGIOUS NATIONALISM AND ""CIVIC ECUMENISM"" IN THE UNITED STATES AND EUROPE"
2023,137029285,OPEN SOCIETY INSTITUTE,HANAAN MARWAH,,17 CROMWELL PLACE,,LONDON,,UK,N6 5HR,36785,TO RESEARCH A BOOK AND PRESENT A SERIES OF SEMINARS THAT WILL ANALYZE HOW STATE OWNED ENTERPRISES (SEOS) IN SUB-SAHARAN AFRICA HAVE EVOLVED OVER TIME AND WHAT IMPLICATIONS THEY HAVE ON INEQUALITY.
2023,137029285,OPEN SOCIETY INSTITUTE,LUCIANA ZAFFALON,,RUA BARTIRA 654 APTO 131,,SAO PAULO,,BR,05009000,10000,TO UNDERSTAND HOW COURTS AROUND THE WORLD ARE COOPTED BY MECHANISMS THAT EXACERBATE INEQUALITY AND TO MAP OUT STRATEGIES FOR MORE SUBSTANTIVELY EQUAL COURTS.
2023,137029285,OPEN SOCIETY INSTITUTE,AHMED HASSAN ALY,,11 SHADY ABD EL-SALAM ST MIAMI,,ALEXANDRIA,,EG,21614,5856,"TO ENABLE YOU TO PURSUE A MASTERS DEGREE IN SOCIAL SCIENCES OR HUMANITIES, AND TO APPLY THE KNOWLEDGE AND SKILLS GAINED IN YOUR ROLE AS A CIVIL SOCIETY LEADER TO BOLSTER POSITIVE SOCIAL CHANGE IN YOUR HOME COUNTRY OR REGION"
2023,137029285,OPEN SOCIETY INSTITUTE,GASHAW GEORGE GEBREIDIA,,ARKISHA,,JINKA,,ET,251,1086,"TO ENABLE YOU TO PURSUE A MASTERS DEGREE IN SOCIAL SCIENCES OR HUMANITIES, AND TO APPLY THE KNOWLEDGE AND SKILLS GAINED IN YOUR ROLE AS A CIVIL SOCIETY LEADER TO BOLSTER POSITIVE SOCIAL CHANGE IN YOUR HOME COUNTRY OR REGION"
2023,137029285,OPEN SOCIETY INSTITUTE,VIBOL KONG,,SANGKAT CHBAR AM POV PHNOM PENH,,PHNOM PENH,,CB,855,1041,"TO ENABLE YOU TO PURSUE A MASTERS DEGREE IN SOCIAL SCIENCES OR HUMANITIES, AND TO APPLY THE KNOWLEDGE AND SKILLS GAINED IN YOUR ROLE AS A CIVIL SOCIETY LEADER TO BOLSTER POSITIVE SOCIAL CHANGE IN YOUR HOME COUNTRY OR REGION"
2023,137029285,OPEN SOCIETY INSTITUTE,NADA MOHAMED AHMED SHAFIK BAHGAT,,2 RAMO STREET NASR ROAD NASR CITY,,CAIRO,,EG,11516,39216,"TO ENABLE YOU TO PURSUE A MASTERS DEGREE IN SOCIAL SCIENCES OR HUMANITIES, AND TO APPLY THE KNOWLEDGE AND SKILLS GAINED IN YOUR ROLE AS A CIVIL SOCIETY LEADER TO BOLSTER POSITIVE SOCIAL CHANGE IN YOUR HOME COUNTRY OR REGION"
2023,137029285,OPEN SOCIETY INSTITUTE,FATMA OTHMAN MOBARAK AWADALLA,,19 ALTAWHEED MOSQUE ST MANSHAT,DAMALO,QUESNA,,EG,32649,40983,"TO ENABLE YOU TO PURSUE A MASTERS DEGREE IN SOCIAL SCIENCES OR HUMANITIES, AND TO APPLY THE KNOWLEDGE AND SKILLS GAINED IN YOUR ROLE AS A CIVIL SOCIETY LEADER TO BOLSTER POSITIVE SOCIAL CHANGE IN YOUR HOME COUNTRY OR REGION"
2023,137029285,OPEN SOCIETY INSTITUTE,ALI ABDULMAJID MUSTAFA LATEEF,,20TH RAMADAN STREET -SOUQ AL JUMAA,TRIPOLI,TRIPOLI,,OC,00218,5572,"TO ENABLE YOU TO PURSUE A MASTERS DEGREE IN SOCIAL SCIENCES OR HUMANITIES, AND TO APPLY THE KNOWLEDGE AND SKILLS GAINED IN YOUR ROLE AS A CIVIL SOCIETY LEADER TO BOLSTER POSITIVE SOCIAL CHANGE IN YOUR HOME COUNTRY OR REGION"
2023,137029285,OPEN SOCIETY INSTITUTE,AHMED HAMED AHMED MOHAMED ALY,,69 IRAN ST DOKKI,,GIZA,,EG,12311,26407,"TO ENABLE YOU TO PURSUE A MASTERS DEGREE IN SOCIAL SCIENCES OR HUMANITIES, AND TO APPLY THE KNOWLEDGE AND SKILLS GAINED IN YOUR ROLE AS A CIVIL SOCIETY LEADER TO BOLSTER POSITIVE SOCIAL CHANGE IN YOUR HOME COUNTRY OR REGION"
